Month,Sales
2021-01-01,200
2021-02-01,210
2021-03-01,225
2021-04-01,245
2021-05-01,255
2021-06-01,270
2021-07-01,280
2021-08-01,290
2021-09-01,275
2021-10-01,300
2021-11-01,320
2021-12-01,350
2022-01-01,210
2022-02-01,220
2022-03-01,240
2022-04-01,260
2022-05-01,275
2022-06-01,290
2022-07-01,300
2022-08-01,315
2022-09-01,295
2022-10-01,325
2022-11-01,350
2022-12-01,380
2023-01-01,230
2023-02-01,245
2023-03-01,265
2023-04-01,290
2023-05-01,300
2023-06-01,320
2023-07-01,330
2023-08-01,350
2023-09-01,325
2023-10-01,360
2023-11-01,390
2023-12-01,420
